ID	price	brand	model	Clasificacion 	year	title_status	mileage	color	lot	state	Precio _en_Mexico 	qx1_estado	qx_marca	qx_tipo 
16	12710	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	25747	white	167692497	california	254200	0.13	0.04	0.14
17	5200	kia	forte	TURISMO_MONOVOLUMEN	2018	clean_vehicle	46194	blue	167801757	north_carolina	104000	0.12	0.25	0.149
18	16500	buick	encore	TURISMO_FAMILIAR	2018	clean_vehicle	20002	red	167763275	tennessee	330000	0.12	0.04	0.14
19	5210	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	35714	white	167656124	texas	104200	0.12	0.15	0.128
20	38100	ford	door	DERIVADO_DE_TURISMO	2013	clean_vehicle	54380	gray	167753923	virginia	762000	0.12	0.15	0.128
21	12520	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	30114	white	167692498	california	250400	0.13	0.04	0.14
22	7300	kia	forte	TURISMO_MONOVOLUMEN	2018	clean_vehicle	38823	black	167801773	north_carolina	146000	0.12	0.25	0.149
23	15000	chevrolet	door	TODO_TERRENO	2015	clean_vehicle	61578	black	167763280	ohio	300000	0.1517	0.25	0.125
24	6180	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	46010	blue	167656125	texas	123600	0.12	0.15	0.128
25	20800	ford	door	DERIVADO_DE_TURISMO	2013	clean_vehicle	105510	silver	167753937	virginia	416000	0.12	0.15	0.128
26	11900	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	28040	silver	167692503	california	238000	0.13	0.04	0.14
27	21500	kia	sorento	TURISMO_MONOVOLUMEN	2020	clean_vehicle	11451	blue	167801828	north_carolina	430000	0.12	0.25	0.149
28	12000	buick	door	TURISMO_FAMILIAR	2014	clean_vehicle	31039	brown	167763299	ohio	240000	0.1517	0.04	0.14
29	4190	ford	doors	DERIVADO_DE_TURISMO	2017	clean_vehicle	44174	white	167656126	texas	83800	0.12	0.15	0.128
30	13000	ford	chassis	DERIVADO_DE_TURISMO	2008	clean_vehicle	93698	white	167754098	tennessee	260000	0.12	0.15	0.128
31	12710	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	26364	silver	167692504	california	254200	0.13	0.04	0.14
32	18500	infiniti	q70	DERIVADO_DE_TURISMO	2016	clean_vehicle	71967	gray	167801920	new_york	370000	0.12	0.04	0.128
33	29800	chevrolet	camaro	TODO_TERRENO	1973	clean_vehicle	46226	red	167763370	pennsylvania	596000	0.12	0.25	0.125
34	5330	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	37792	no_color	167656127	texas	106600	0.12	0.15	0.128
35	13000	ford	convertible	DERIVADO_DE_TURISMO	2003	clean_vehicle	58817	gray	167754173	virginia	260000	0.12	0.15	0.128
36	11900	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	27965	black	167692507	california	238000	0.13	0.04	0.14
37	16600	mercedes-benz	vans	TODO_TERRENO	2016	clean_vehicle	110907	white	167802259	new_york	332000	0.12	0.04	0.125
38	19200	chevrolet	1500	TODO_TERRENO	2018	clean_vehicle	2430	white	167763391	tennessee	384000	0.12	0.25	0.125
39	7320	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	32366	gold	167656128	texas	146400	0.12	0.15	0.128
40	7000	ford	pk	DERIVADO_DE_TURISMO	2003	clean_vehicle	176567	white	167754187	tennessee	140000	0.12	0.15	0.128
41	12710	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	30049	white	167692508	california	254200	0.13	0.04	0.14
42	16600	mercedes-benz	vans	TODO_TERRENO	2016	clean_vehicle	97983	white	167802269	new_york	332000	0.12	0.04	0.125
43	30500	chevrolet	1500	TODO_TERRENO	2018	clean_vehicle	30442	red	167763393	tennessee	610000	0.12	0.25	0.125
44	6330	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	38123	red	167656129	texas	126600	0.12	0.15	0.128
45	55000	ford	srw	DERIVADO_DE_TURISMO	2017	clean_vehicle	15273	black	167754310	pennsylvania	1100000	0.12	0.15	0.128
46	12520	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	28972	black	167692509	california	250400	0.13	0.04	0.14
47	16200	jeep	compass	DERIVADO_DE_TURISMO	2019	clean_vehicle	30061	red	167802530	north_carolina	324000	0.12	0.04	0.128
48	19000	chevrolet	malibu	TODO_TERRENO	2017	clean_vehicle	18414	white	167763675	tennessee	380000	0.12	0.25	0.125
49	5580	dodge	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	46829	gray	167656130	texas	111600	0.12	0.2	0.128
50	54000	ford	srw	DERIVADO_DE_TURISMO	2017	clean_vehicle	26241	black	167754311	pennsylvania	1080000	0.12	0.15	0.128
51	12710	gmc	mpv	TURISMO_FAMILIAR	2017	clean_vehicle	39886	red	167692513	california	254200	0.13	0.04	0.14
52	16000	jeep	compass	DERIVADO_DE_TURISMO	2019	clean_vehicle	31594	silver	167802531	north_carolina	320000	0.12	0.04	0.128
53	27000	buick	enclave	TURISMO_FAMILIAR	2017	clean_vehicle	32107	no_color	167763677	tennessee	540000	0.12	0.04	0.14
54	7760	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	44794	gray	167656131	texas	155200	0.12	0.15	0.128
55	19600	chrysler	300	TODO_TERRENO	2019	clean_vehicle	42648	gray	167754404	south_carolina	392000	0.1541	0.04	0.125
56	12920	gmc	mpv	TURISMO_FAMILIAR	2017	clean_vehicle	39165	silver	167692514	california	258400	0.13	0.04	0.14
57	20000	jeep	cherokee	DERIVADO_DE_TURISMO	2019	clean_vehicle	38355	charcoal	167802532	north_carolina	400000	0.12	0.04	0.128
58	18100	buick	door	TURISMO_FAMILIAR	2017	clean_vehicle	46766	silver	167763681	florida	362000	0.11	0.04	0.14
59	23000	chrysler	pacifica	TODO_TERRENO	2020	clean_vehicle	2473	white	167656205	ohio	460000	0.1517	0.04	0.125
60	18500	chrysler	300	TODO_TERRENO	2019	clean_vehicle	38586	gray	167754410	south_carolina	370000	0.1541	0.04	0.125
61	13490	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	27842	white	167692515	california	269800	0.13	0.04	0.14
62	20700	jeep	cherokee	DERIVADO_DE_TURISMO	2019	clean_vehicle	31156	white	167802533	north_carolina	414000	0.12	0.04	0.128
63	17800	chevrolet	door	TODO_TERRENO	2017	clean_vehicle	52435	black	167763683	florida	356000	0.11	0.25	0.125
64	6650	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	29942	black	167656254	texas	133000	0.12	0.15	0.128
65	29100	chrysler	pacifica	TODO_TERRENO	2019	clean_vehicle	25281	red	167754412	south_carolina	582000	0.1541	0.04	0.125
66	12710	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	32504	silver	167692524	california	254200	0.13	0.04	0.14
67	21100	jeep	cherokee	DERIVADO_DE_TURISMO	2019	clean_vehicle	28649	silver	167802534	north_carolina	422000	0.12	0.04	0.128
68	18600	chevrolet	door	TODO_TERRENO	2017	clean_vehicle	35200	white	167763684	florida	372000	0.11	0.25	0.125
69	4340	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	25602	silver	167656255	texas	86800	0.12	0.15	0.128
70	19300	chrysler	300	TODO_TERRENO	2019	clean_vehicle	34801	gray	167754413	south_carolina	386000	0.1541	0.04	0.125
71	12780	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	31009	black	167692525	california	255600	0.13	0.04	0.14
72	15800	jeep	compass	DERIVADO_DE_TURISMO	2019	clean_vehicle	35595	charcoal	167802541	north_carolina	316000	0.12	0.04	0.128
73	29400	bmw	x3	TURISMO_FAMILIAR	2017	clean_vehicle	23765	black	167763685	tennessee	588000	0.12	0.03	0.14
74	4430	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	31792	black	167656256	texas	88600	0.12	0.15	0.128
75	19400	chrysler	300	TODO_TERRENO	2019	clean_vehicle	33135	gray	167754417	south_carolina	388000	0.1541	0.04	0.125
76	12520	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	30636	red	167692526	california	250400	0.13	0.04	0.14
77	15900	jeep	compass	DERIVADO_DE_TURISMO	2019	clean_vehicle	34502	red	167802543	north_carolina	318000	0.12	0.04	0.128
78	26400	buick	door	TURISMO_FAMILIAR	2017	clean_vehicle	25434	white	167763690	florida	528000	0.11	0.04	0.14
79	4140	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	36732	black	167656257	texas	82800	0.12	0.15	0.128
80	18300	chrysler	300	TODO_TERRENO	2019	clean_vehicle	41792	gray	167754420	south_carolina	366000	0.1541	0.04	0.125
81	12520	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	31992	black	167692527	california	250400	0.13	0.04	0.14
82	17900	jeep	compass	DERIVADO_DE_TURISMO	2019	clean_vehicle	32501	red	167802544	north_carolina	358000	0.12	0.04	0.128
83	18300	chevrolet	camaro	TODO_TERRENO	2017	clean_vehicle	28395	black	167763691	florida	366000	0.11	0.25	0.125
84	4640	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	36139	blue	167656258	texas	92800	0.12	0.15	0.128
85	24000	ford	door	DERIVADO_DE_TURISMO	2016	clean_vehicle	84413	black	167754527	pennsylvania	480000	0.12	0.15	0.128
86	13200	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	33457	white	167692528	california	264000	0.13	0.04	0.14
87	18000	jeep	compass	DERIVADO_DE_TURISMO	2019	clean_vehicle	29245	gray	167802545	north_carolina	360000	0.12	0.04	0.128
88	14900	chevrolet	equinox	TODO_TERRENO	2017	clean_vehicle	12783	silver	167763692	florida	298000	0.11	0.25	0.125
89	4140	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	17617	white	167656259	texas	82800	0.12	0.15	0.128
90	11500	ford	door	DERIVADO_DE_TURISMO	2016	clean_vehicle	36855	black	167754531	pennsylvania	230000	0.12	0.15	0.128
91	9110	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	110316	white	167656356	texas	182200	0.12	0.15	0.128
92	7350	chrysler	door	TODO_TERRENO	2015	clean_vehicle	88227	black	167755375	pennsylvania	147000	0.12	0.04	0.125
93	24500	bmw	door	TURISMO_FAMILIAR	2017	clean_vehicle	17626	gray	167765094	michigan	490000	0.0618	0.03	0.14
94	9300	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	120353	white	167656357	texas	186000	0.12	0.15	0.128
95	39800	dodge	challenger	DERIVADO_DE_TURISMO	2015	clean_vehicle	3641	white	167755377	pennsylvania	796000	0.12	0.2	0.128
96	53500	bmw	m	TURISMO_FAMILIAR	2017	clean_vehicle	29355	blue	167765095	michigan	1070000	0.0618	0.03	0.14
97	15110	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	39333	black	167656358	texas	302200	0.12	0.15	0.128
98	34000	ford	door	DERIVADO_DE_TURISMO	2015	clean_vehicle	42930	white	167755448	pennsylvania	680000	0.12	0.15	0.128
99	26502	chevrolet	colorado	TODO_TERRENO	2017	clean_vehicle	24993	black	167765108	michigan	530040	0.0618	0.25	0.125
100	5990	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	44929	black	167656359	texas	119800	0.12	0.15	0.128
101	13600	ford	focus	DERIVADO_DE_TURISMO	2018	clean_vehicle	16971	black	167755490	south_carolina	272000	0.1541	0.15	0.128
102	23605	cadillac	door	INDUSTRIAL_LIGERO	2017	clean_vehicle	35598	gray	167765109	michigan	472100	0.0618	0.04	0.198
103	10780	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	40455	white	167656360	texas	215600	0.12	0.15	0.128
104	13800	ford	focus	DERIVADO_DE_TURISMO	2018	clean_vehicle	23164	white	167755491	south_carolina	276000	0.1541	0.15	0.128
105	25201	cadillac	door	INDUSTRIAL_LIGERO	2017	clean_vehicle	19011	no_color	167765111	michigan	504020	0.0618	0.04	0.198
106	7070	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	45191	white	167656361	texas	141400	0.12	0.15	0.128
107	8700	ford	focus	DERIVADO_DE_TURISMO	2018	clean_vehicle	21405	white	167755494	south_carolina	174000	0.1541	0.15	0.128
108	18003	chevrolet	malibu	TODO_TERRENO	2017	clean_vehicle	19117	no_color	167765112	michigan	360060	0.0618	0.25	0.125
109	8530	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	42104	black	167656362	texas	170600	0.12	0.15	0.128
110	23100	dodge	durango	DERIVADO_DE_TURISMO	2018	clean_vehicle	49496	white	167755496	south_carolina	462000	0.1541	0.2	0.128
111	24500	cadillac	door	INDUSTRIAL_LIGERO	2017	clean_vehicle	32418	white	167765114	michigan	490000	0.0618	0.04	0.198
112	7000	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	29882	white	167656363	texas	140000	0.12	0.15	0.128
113	17000	ford	escape	DERIVADO_DE_TURISMO	2018	clean_vehicle	34819	gold	167755501	south_carolina	340000	0.1541	0.15	0.128
114	34002	chevrolet	1500	TODO_TERRENO	2017	clean_vehicle	31923	white	167765115	michigan	680040	0.0618	0.25	0.125
115	6980	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	29168	gray	167656364	texas	139600	0.12	0.15	0.128
116	25000	dodge	charger	DERIVADO_DE_TURISMO	2018	clean_vehicle	28307	silver	167755814	michigan	500000	0.0618	0.2	0.128
117	20802	chevrolet	colorado	TODO_TERRENO	2017	clean_vehicle	33791	turquoise	167765116	michigan	416040	0.0618	0.25	0.125
118	9200	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	21770	black	167656365	texas	184000	0.12	0.15	0.128
119	26500	chrysler	pacifica	TODO_TERRENO	2017	clean_vehicle	18375	gray	167755839	michigan	530000	0.0618	0.04	0.125
120	24802	chevrolet	colorado	TODO_TERRENO	2017	clean_vehicle	14158	gray	167765119	michigan	496040	0.0618	0.25	0.125
121	7070	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	30318	black	167656366	texas	141400	0.12	0.15	0.128
122	28500	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	48086	red	167755890	south_carolina	570000	0.1541	0.15	0.128
123	47500	cadillac	door	INDUSTRIAL_LIGERO	2017	clean_vehicle	26562	black	167765120	michigan	950000	0.0618	0.04	0.198
124	23500	ford	explorer	DERIVADO_DE_TURISMO	2017	clean_vehicle	57611	black	167755891	south_carolina	470000	0.1541	0.15	0.128
125	23505	chevrolet	colorado	TODO_TERRENO	2017	clean_vehicle	47357	black	167765121	michigan	470100	0.0618	0.25	0.125
126	10940	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	84916	white	167656368	texas	218800	0.12	0.15	0.128
127	32100	ford	f-150	DERIVADO_DE_TURISMO	2017	clean_vehicle	24521	gray	167755893	south_carolina	642000	0.1541	0.15	0.128
128	53000	chevrolet	3500	TODO_TERRENO	2018	clean_vehicle	16105	black	167765123	washington	1060000	0.13	0.25	0.125
129	6830	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	35888	gold	167656369	texas	136600	0.12	0.15	0.128
130	11900	dodge	caravan	DERIVADO_DE_TURISMO	2017	clean_vehicle	59537	gray	167755906	south_carolina	238000	0.1541	0.2	0.128
131	26414	chevrolet	1500	TODO_TERRENO	2017	clean_vehicle	55222	black	167765140	michigan	528280	0.0618	0.25	0.125
132	4160	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	32870	gray	167656464	florida	83200	0.11	0.2	0.128
133	19405	chevrolet	door	TODO_TERRENO	2017	clean_vehicle	39687	silver	167765141	michigan	388100	0.0618	0.25	0.125
134	5690	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	47085	silver	167656466	florida	113800	0.11	0.2	0.128
135	25900	chrysler	van	TODO_TERRENO	2017	clean_vehicle	32224	silver	167756044	south_carolina	518000	0.1541	0.04	0.125
136	24005	chevrolet	1500	TODO_TERRENO	2017	clean_vehicle	51293	beige	167765146	michigan	480100	0.0618	0.25	0.125
137	5090	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	42989	gray	167656467	florida	101800	0.11	0.2	0.128
138	19500	chrysler	300	TODO_TERRENO	2017	clean_vehicle	31311	gray	167756093	arizona	390000	0.11	0.04	0.125
139	32012	chevrolet	1500	TODO_TERRENO	2017	clean_vehicle	46091	white	167765148	michigan	640240	0.0618	0.25	0.125
140	6800	dodge	dart	DERIVADO_DE_TURISMO	2016	clean_vehicle	49033	black	167756148	michigan	136000	0.0618	0.2	0.128
141	4260	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	33957	gray	167656471	florida	85200	0.11	0.2	0.128
142	31802	chevrolet	2500	TODO_TERRENO	2017	clean_vehicle	19845	silver	167765152	michigan	636040	0.0618	0.25	0.125
143	7210	dodge	doors	DERIVADO_DE_TURISMO	2018	clean_vehicle	38910	black	167656472	florida	144200	0.11	0.2	0.128
144	28402	chevrolet	1500	TODO_TERRENO	2017	clean_vehicle	31234	black	167765157	michigan	568040	0.0618	0.25	0.125
145	6800	dodge	doors	DERIVADO_DE_TURISMO	2018	clean_vehicle	36767	gray	167656473	florida	136000	0.11	0.2	0.128
146	33300	cadillac	esv	INDUSTRIAL_LIGERO	2015	clean_vehicle	57932	gray	167765183	washington	666000	0.13	0.04	0.198
147	10780	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	19420	white	167656474	florida	215600	0.11	0.2	0.128
148	6700	ford	cutaway	DERIVADO_DE_TURISMO	2014	clean_vehicle	204155	beige	167756194	pennsylvania	134000	0.12	0.15	0.128
149	20000	chevrolet	1500	TODO_TERRENO	2016	clean_vehicle	93493	white	167765203	washington	400000	0.13	0.25	0.125
150	6440	chrysler	doors	TODO_TERRENO	2018	clean_vehicle	20942	gray	167656475	florida	128800	0.11	0.04	0.125
151	19900	ford	door	DERIVADO_DE_TURISMO	2016	clean_vehicle	86826	gray	167756205	south_carolina	398000	0.1541	0.15	0.128
152	37000	chevrolet	door	TODO_TERRENO	2015	clean_vehicle	45787	white	167765217	washington	740000	0.13	0.25	0.125
153	4040	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	50765	red	167656476	florida	80800	0.11	0.2	0.128
154	22300	ford	explorer	DERIVADO_DE_TURISMO	2016	clean_vehicle	62774	black	167756208	south_carolina	446000	0.1541	0.15	0.128
155	31200	chevrolet	door	TODO_TERRENO	2011	clean_vehicle	76326	gray	167765320	washington	624000	0.13	0.25	0.125
156	4290	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	39029	white	167656477	florida	85800	0.11	0.2	0.128
157	22800	ford	el	DERIVADO_DE_TURISMO	2016	clean_vehicle	72885	silver	167756210	south_carolina	456000	0.1541	0.15	0.128
158	19002	cadillac	door	INDUSTRIAL_LIGERO	2016	clean_vehicle	46467	white	167765761	michigan	380040	0.0618	0.04	0.198
159	4160	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	6743	gray	167656478	florida	83200	0.11	0.2	0.128
160	18500	ford	edge	DERIVADO_DE_TURISMO	2016	clean_vehicle	33514	white	167756214	south_carolina	370000	0.1541	0.15	0.128
161	39000	bmw	series	TURISMO_FAMILIAR	2016	clean_vehicle	39917	blue	167765766	michigan	780000	0.0618	0.03	0.14
162	6060	dodge	doors	DERIVADO_DE_TURISMO	2018	clean_vehicle	32504	black	167656479	florida	121200	0.11	0.2	0.128
163	28800	ford	door	DERIVADO_DE_TURISMO	2016	clean_vehicle	77638	white	167756219	south_carolina	576000	0.1541	0.15	0.128
164	40000	bmw	series	TURISMO_FAMILIAR	2016	clean_vehicle	31727	gray	167765767	michigan	800000	0.0618	0.03	0.14
165	6140	dodge	doors	DERIVADO_DE_TURISMO	2018	clean_vehicle	52966	silver	167656480	florida	122800	0.11	0.2	0.128
166	21000	ford	flex	DERIVADO_DE_TURISMO	2016	clean_vehicle	24157	gray	167756222	south_carolina	420000	0.1541	0.15	0.128
167	20105	buick	door	TURISMO_FAMILIAR	2016	clean_vehicle	51393	beige	167765770	michigan	402100	0.0618	0.04	0.14
168	6760	dodge	doors	DERIVADO_DE_TURISMO	2018	clean_vehicle	35461	white	167656483	florida	135200	0.11	0.2	0.128
169	25800	ford	door	DERIVADO_DE_TURISMO	2014	clean_vehicle	47055	brown	167756277	pennsylvania	516000	0.12	0.15	0.128
170	39000	bmw	series	TURISMO_FAMILIAR	2016	clean_vehicle	33110	black	167765776	michigan	780000	0.0618	0.03	0.14
171	5470	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	39721	black	167656495	florida	109400	0.11	0.2	0.128
172	14600	ford	door	DERIVADO_DE_TURISMO	2014	clean_vehicle	75785	black	167756284	pennsylvania	292000	0.12	0.15	0.128
173	24502	chevrolet	1500	TODO_TERRENO	2016	clean_vehicle	33624	black	167765812	michigan	490040	0.0618	0.25	0.125
174	15110	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	42289	white	167656516	texas	302200	0.12	0.15	0.128
175	7900	ford	door	DERIVADO_DE_TURISMO	2014	clean_vehicle	79422	white	167756290	new_york	158000	0.12	0.15	0.128
176	27305	chevrolet	door	TODO_TERRENO	2016	clean_vehicle	28844	blue	167765813	michigan	546100	0.0618	0.25	0.125
177	15290	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	66582	white	167656517	texas	305800	0.12	0.15	0.128
178	26500	ford	door	DERIVADO_DE_TURISMO	2015	clean_vehicle	61436	silver	167756321	south_carolina	530000	0.1541	0.15	0.128
179	25502	chevrolet	door	TODO_TERRENO	2016	clean_vehicle	58303	silver	167765816	michigan	510040	0.0618	0.25	0.125
180	7320	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	55618	white	167656518	texas	146400	0.12	0.15	0.128
181	3800	chevrolet	van	TODO_TERRENO	2009	clean_vehicle	261648	white	167756420	michigan	76000	0.0618	0.25	0.125
182	24502	chevrolet	door	TODO_TERRENO	2016	clean_vehicle	33045	white	167765817	michigan	490040	0.0618	0.25	0.125
183	4140	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	40747	white	167656519	texas	82800	0.12	0.15	0.128
184	1400	dodge	pk	DERIVADO_DE_TURISMO	2002	clean_vehicle	185460	black	167756423	michigan	28000	0.0618	0.2	0.128
185	18402	cadillac	srx	INDUSTRIAL_LIGERO	2016	clean_vehicle	26667	gray	167765819	michigan	368040	0.0618	0.04	0.198
186	4160	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	37176	white	167656520	texas	83200	0.12	0.15	0.128
187	24503	chevrolet	colorado	TODO_TERRENO	2016	clean_vehicle	18006	brown	167765821	michigan	490060	0.0618	0.25	0.125
188	15840	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	72445	white	167656521	texas	316800	0.12	0.15	0.128
189	20500	ford	door	DERIVADO_DE_TURISMO	2014	clean_vehicle	123355	black	167756547	south_carolina	410000	0.1541	0.15	0.128
190	21003	chevrolet	1500	TODO_TERRENO	2016	clean_vehicle	44116	silver	167765826	michigan	420060	0.0618	0.25	0.125
191	4200	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	60219	red	167656522	texas	84000	0.12	0.15	0.128
192	17400	ford	door	DERIVADO_DE_TURISMO	2011	clean_vehicle	135077	red	167756635	georgia	348000	0.11	0.15	0.128
193	32001	chevrolet	door	TODO_TERRENO	2016	clean_vehicle	32058	black	167765832	michigan	640020	0.0618	0.25	0.125
194	0	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	76858	white	167656523	texas	0	0.12	0.15	0.128
195	15700	ford	cab	DERIVADO_DE_TURISMO	2011	clean_vehicle	309564	white	167756640	south_carolina	314000	0.1541	0.15	0.128
196	31009	chevrolet	door	TODO_TERRENO	2016	clean_vehicle	33928	white	167765835	michigan	620180	0.0618	0.25	0.125
197	3740	ford	wagon	DERIVADO_DE_TURISMO	2017	clean_vehicle	90618	white	167656524	texas	74800	0.12	0.15	0.128
198	5000	dodge	pickup	DERIVADO_DE_TURISMO	2001	clean_vehicle	109360	white	167756836	georgia	100000	0.11	0.2	0.128
199	31002	chevrolet	door	TODO_TERRENO	2016	clean_vehicle	71809	white	167765840	michigan	620040	0.0618	0.25	0.125
200	3160	ford	doors	DERIVADO_DE_TURISMO	2017	clean_vehicle	31563	gray	167656526	texas	63200	0.12	0.15	0.128
201	8600	dodge	pickup	DERIVADO_DE_TURISMO	2005	clean_vehicle	219823	gray	167756840	south_carolina	172000	0.1541	0.2	0.128
202	6000	chevrolet	malibu	TODO_TERRENO	2018	clean_vehicle	42090	gray	167765944	texas	120000	0.12	0.25	0.125
203	12990	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	126523	white	167656527	texas	259800	0.12	0.15	0.128
204	13200	buick	encore	TURISMO_FAMILIAR	2017	clean_vehicle	60171	black	167765959	texas	264000	0.12	0.04	0.14
205	4410	ford	wagon	DERIVADO_DE_TURISMO	2017	clean_vehicle	209915	white	167656528	texas	88200	0.12	0.15	0.128
206	22500	chevrolet	camaro	TODO_TERRENO	2020	clean_vehicle	13826	green	167765992	georgia	450000	0.11	0.25	0.125
207	7420	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	55854	white	167656529	texas	148400	0.12	0.15	0.128
208	13500	ford	door	DERIVADO_DE_TURISMO	2016	clean_vehicle	45757	silver	167757353	arizona	270000	0.11	0.15	0.128
209	15500	chevrolet	trax	TODO_TERRENO	2020	clean_vehicle	16545	white	167765995	georgia	310000	0.11	0.25	0.125
210	3540	ford	door	DERIVADO_DE_TURISMO	2017	clean_vehicle	112893	white	167656530	texas	70800	0.12	0.15	0.128
